symbol,name,exchange,industry,type,currency
TLS,Telstra Corporation,ASX,Communication,Private,AUD
SVW,Seven Group Holdings Ltd,ASX,Communication,Private,AUD
APT,Afterpay Ltd,ASX,Financial,Private,AUD
CBA,Commonwealth Bank of Australia,ASX,Financial,Private,AUD
IAG,Insurance Australia Group Ltd,ASX,Financial,Private,AUD
WBC,Westpac Banking Corporation,ASX,Financial,Private,AUD
COH,Cochlear Ltd,ASX,Health Care,Private,AUD
FPH,Fisher & Paykel Healthcare Corporation Ltd,ASX,Health Care,Private,AUD
SHL,Sonic Healthcare Ltd,ASX,Health Care,Private,AUD
IOZ,iShares Core S&P/ASX 200 ETF,ASX,Misc,ETF,AUD
IOO,iShares Global 100 ETF,ASX,Misc,ETF,AUD
VGE,Vanguard Ftse Emerging Markets Shares ETF,ASX,Misc,ETF,AUD
ETHI,BetaShares Sustainability ETF,ASX,Misc,ETF,AUD
SCG,Scentre Group,ASX,Real Estate,Private,AUD
GPT,GPT Group,ASX,Real Estate,Private,AUD
MVR,Vanek Vectors Australian Resources ETF,ASX,Resources,ETF,AUD
AGL,AGL Energy Ltd,ASX,Resources,Private,AUD
BHP,BHP Group Ltd,ASX,Resources,Private,AUD
WES,Wesfarmers Ltd,ASX,Retail,Private,AUD
WOW,Woolworths Group Ltd,ASX,Retail/Food,Private,AUD
DMP,Domino's Piazza Enterprises Ltd,ASX,Retail/Food,Private,AUD
CCL,Coca-Cola Amatil Ltd,ASX,Retail/Food,Private,AUD
JBH,Jb Hi-Fi Ltd,ASX,Retail/Technology,Private,AUD
CAR,Carsales.com Ltd,ASX,Retail/Technology,Private,AUD
NDQ,BetaShares NASDAQ 100 ETF,ASX,Technology,ETF,AUD
XRO,Xero Ltd,ASX,Technology,Private,AUD
EOS,Electro Optic System Holdings Ltd,ASX,Technology,Private,AUD
QAN,Qantas Airways Ltd,ASX,Transportation,Private,AUD
T,AT&T Inc,NYSE,Communication,Private,USD
FB,Facebook Inc,NASDAQ,Communication,Private,USD
CSCO,Cisco Inc,NASDAQ,Communication,Private,USD
DIS,Walt Disney Company,NYSE,Entertainment,Private,USD
BAC,Bank of America Corp,NYSE,Financial,Private,USD
MA,Mastercard Inc,NYSE,Financial,Private,USD
MTB,M&T Bank Corp,NYSE,Financial,Private,USD
JNJ,Johnson & Johnson,NYSE,Health Care,Private,USD
MDT,Medtronic Plc,NYSE,Health Care,Private,USD
BRK.B,Berkshire Hathaway Inc - Class B,NYSE,Misc,Private,USD
VYM,Vanguard High Dividend Yield ETF,NYSE,Misc,ETF,USD
IWL,iShares Russell Top 200 ETF,NYSE,Misc,ETF,USD
SPG,Simon Property Group Inc,NYSE,Real Estate,Private,USD
VNQ,Vanguard Real Estate ETF,NYSE,Real Estate,ETF,USD
XOM,Exxon Mobil Corp,NYSE,Resources,Private,USD
SCCO,Southern Copper Corp,NYSE,Resources,Private,USD
WMT,Walmart Inc,NYSE,Retail,Private,USD
KO,Coca-Cola Company,NYSE,Retail/Food,Private,USD
MCD,McDonald's Corp,NYSE,Retail/Food,Private,USD
K,Kellogg Company,NYSE,Retail/Food,Private,USD
AMD,AMD Inc,NASDAQ,Retail/Technology,Private,USD
AAPL,Apple Inc,NASDAQ,Technology,Private,USD
HPQ,HP Inc,NYSE,Technology,Private,USD
MSFT,Microsoft Corp,NASDAQ,Technology,Private,USD
QQQ,Invesco QQQ Trust,NASDAQ,Technology,ETF,USD
TSLA,Tesla Inc,NASDAQ,Transportation,Private,USD
BA,Boeing Co,NYSE,Transportation,Private,USD
GM,General Motors Company,NYSE,Transportation,Private,USD
VOD,Vodafone,LSE,Communication,Private,GBP
STJ,St James's Place PLC,LSE,Financial,Private,GBP
MDC,Mediclinic International,LSE,Health Care,Private,GBP
SEQI,Sequoia Economic Infrastructure Income Fund Ltd,LSE,Misc,ETF,GBP
BYG,Big Yellow Group PLC,LSE,Real Estate,Private,GBP
KGF,Kingfisher PLC,LSE,Retail,Private,GBP
ABF,AB Foods,LSE,Retail/Food,Private,GBP
MCRO,Micro Focus,LSE,Technology,Private,GBP
sim00a,Ecksdee UNSW,XD00,Simulated,Private,AUD
sim00b,Ecksdee UNSW,XD00,Simulated,Private,AUD
sim01a,Ecksdee UNSW,XD01,Simulated,Private,AUD
sim01b,Ecksdee UNSW,XD01,Simulated,Private,AUD
sim02a,Ecksdee UNSW,XD02,Simulated,Private,AUD
sim02b,Ecksdee UNSW,XD02,Simulated,Private,AUD
sim03a,Ecksdee UNSW,XD03,Simulated,Private,AUD
sim03b,Ecksdee UNSW,XD03,Simulated,Private,AUD
sim04a,Ecksdee UNSW,XD04,Simulated,Private,AUD
sim04b,Ecksdee UNSW,XD04,Simulated,Private,AUD
sim05a,Ecksdee UNSW,XD05,Simulated,Private,AUD
sim05b,Ecksdee UNSW,XD05,Simulated,Private,AUD
sim06a,Ecksdee UNSW,XD06,Simulated,Private,AUD
sim06b,Ecksdee UNSW,XD06,Simulated,Private,AUD
sim07a,Ecksdee UNSW,XD07,Simulated,Private,AUD
sim07b,Ecksdee UNSW,XD07,Simulated,Private,AUD
sim08a,Ecksdee UNSW,XD08,Simulated,Private,AUD
sim08b,Ecksdee UNSW,XD08,Simulated,Private,AUD
sim09a,Ecksdee UNSW,XD09,Simulated,Private,AUD
sim09b,Ecksdee UNSW,XD09,Simulated,Private,AUD
sim10a,Ecksdee UNSW,XD10,Simulated,Private,AUD
sim10b,Ecksdee UNSW,XD10,Simulated,Private,AUD
sim11a,Ecksdee UNSW,XD11,Simulated,Private,AUD
sim11b,Ecksdee UNSW,XD11,Simulated,Private,AUD
sim12a,Ecksdee UNSW,XD12,Simulated,Private,AUD
sim12b,Ecksdee UNSW,XD12,Simulated,Private,AUD
sim13a,Ecksdee UNSW,XD13,Simulated,Private,AUD
sim13b,Ecksdee UNSW,XD13,Simulated,Private,AUD
sim14a,Ecksdee UNSW,XD14,Simulated,Private,AUD
sim14b,Ecksdee UNSW,XD14,Simulated,Private,AUD
sim15a,Ecksdee UNSW,XD15,Simulated,Private,AUD
sim15b,Ecksdee UNSW,XD15,Simulated,Private,AUD
sim16a,Ecksdee UNSW,XD16,Simulated,Private,AUD
sim16b,Ecksdee UNSW,XD16,Simulated,Private,AUD
sim17a,Ecksdee UNSW,XD17,Simulated,Private,AUD
sim17b,Ecksdee UNSW,XD17,Simulated,Private,AUD
sim18a,Ecksdee UNSW,XD18,Simulated,Private,AUD
sim18b,Ecksdee UNSW,XD18,Simulated,Private,AUD
sim19a,Ecksdee UNSW,XD19,Simulated,Private,AUD
sim19b,Ecksdee UNSW,XD19,Simulated,Private,AUD
sim20a,Ecksdee UNSW,XD20,Simulated,Private,AUD
sim20b,Ecksdee UNSW,XD20,Simulated,Private,AUD
sim21a,Ecksdee UNSW,XD21,Simulated,Private,AUD
sim21b,Ecksdee UNSW,XD21,Simulated,Private,AUD
sim22a,Ecksdee UNSW,XD22,Simulated,Private,AUD
sim22b,Ecksdee UNSW,XD22,Simulated,Private,AUD
sim23a,Ecksdee UNSW,XD23,Simulated,Private,AUD
sim23b,Ecksdee UNSW,XD23,Simulated,Private,AUD